2017-11-04 16:58:34,1170,lowFloor,294,126,-41.2111473,174.9017181,Inbound,8858
2017-11-04 16:59:04,1170,lowFloor,210,170,-41.2124977,174.8996887,Inbound,8858
2017-11-04 17:00:04,1170,lowFloor,234,124,-41.2138481,174.8952789,Inbound,8858
2017-11-04 17:00:33,1170,lowFloor,234,153,-41.2148399,174.8934937,Inbound,8858
2017-11-04 17:03:04,1170,lowFloor,198,157,-41.2211456,174.8881378,Inbound,8858
2017-11-04 17:05:03,1170,lowFloor,210,183,-41.2269135,174.8851471,Inbound,8858
2017-11-04 17:06:33,1170,lowFloor,294,246,-41.2266426,174.8822937,Inbound,8858
2017-11-04 17:07:34,1170,lowFloor,294,274,-41.2259216,174.8801422,Inbound,8858
2017-11-04 17:08:03,1170,lowFloor,294,303,-41.2257423,174.8796692,Inbound,8858
2017-11-04 17:09:35,1170,lowFloor,282,335,-41.2245712,174.8758545,Inbound,8858
2017-11-04 17:10:04,1170,lowFloor,282,335,-41.2238503,174.8733521,Inbound,8858
2017-11-04 17:10:33,1170,lowFloor,270,393,-41.2236671,174.8721619,Inbound,8858
2017-11-04 17:11:04,1170,lowFloor,270,424,-41.2236671,174.8721619,Inbound,8858
2017-11-04 17:13:34,1170,lowFloor,258,490,-41.2243881,174.8639374,Inbound,8858
2017-11-04 17:14:04,1170,lowFloor,270,490,-41.2248383,174.8613129,Inbound,8858
2017-11-04 17:15:05,1170,lowFloor,234,490,-41.2265511,174.8511810,Inbound,8858
2017-11-04 17:15:33,1170,lowFloor,234,490,-41.2288933,174.8434448,Inbound,8858
2017-11-04 17:17:04,1170,lowFloor,234,490,-41.2417755,174.8231812,Inbound,8858
2017-11-04 17:20:05,1170,lowFloor,234,394,-41.2542076,174.8013611,Inbound,8858
2017-11-04 17:20:36,1170,lowFloor,246,396,-41.2557411,174.7966003,Inbound,8858
2017-11-04 17:21:04,1170,lowFloor,234,398,-41.2579041,174.7929077,Inbound,8858
2017-11-04 17:21:35,1170,lowFloor,222,398,-41.2605133,174.7895660,Inbound,8858
2017-11-04 17:22:34,1170,lowFloor,222,377,-41.2657394,174.7832489,Inbound,8858
2017-11-04 17:24:34,1170,lowFloor,174,394,-41.2745705,174.7837219,Inbound,8858
2017-11-04 17:26:04,1170,lowFloor,234,424,-41.2786217,174.7788391,Inbound,8858
2017-11-04 17:26:35,1170,lowFloor,234,455,-41.2787132,174.7788391,Inbound,8858
2017-11-04 17:27:35,1170,lowFloor,234,455,-41.2799759,174.7764587,Inbound,8858
2017-11-04 17:30:06,1170,lowFloor,150,426,-41.2851982,174.7758636,Inbound,8858
2017-11-04 17:31:03,1170,lowFloor,198,435,-41.2869110,174.7760925,Inbound,8858
2017-11-04 17:35:05,1170,lowFloor,126,485,-41.2911453,174.7765656,Inbound,8858
2017-11-04 17:36:34,1170,lowFloor,126,454,-41.2927666,174.7794342,Inbound,8858
2017-11-04 17:38:34,1170,lowFloor,114,515,-41.2934875,174.7810974,Inbound,8858
2017-11-04 17:45:04,1170,lowFloor,282,0,-41.2938461,174.7824097,Outbound
2017-11-04 17:46:34,1170,lowFloor,294,65,-41.2934875,174.7812195,Outbound,5000
2017-11-04 17:47:34,1170,lowFloor,306,66,-41.2925873,174.7791901,Outbound,5000
2017-11-04 17:48:05,1170,lowFloor,306,5,-41.2915955,174.7774048,Outbound,5000
2017-11-04 17:51:05,1170,lowFloor,30,98,-41.2890739,174.7747803,Outbound,5000
2017-11-04 17:55:04,1170,lowFloor,6,157,-41.2833061,174.7754974,Outbound,5000
2017-11-04 17:56:04,1170,lowFloor,354,164,-41.2816849,174.7760925,Outbound,5000
2017-11-04 17:57:03,1170,lowFloor,354,106,-41.2796135,174.7769318,Outbound,5000
2017-11-04 17:57:35,1170,lowFloor,42,95,-41.2788048,174.7784729,Outbound,5000
2017-11-04 17:58:34,1170,lowFloor,18,130,-41.2770004,174.7808685,Outbound,5000
2017-11-04 17:59:04,1170,lowFloor,6,106,-41.2747498,174.7837219,Outbound,5000
2017-11-04 17:59:33,1170,lowFloor,342,93,-41.2715950,174.7819366,Outbound,5000
2017-11-04 18:01:04,1170,lowFloor,54,107,-41.2624054,174.7870636,Outbound,5000
2017-11-04 18:01:04,1170,lowFloor,54,107,-41.2624054,174.7870636,Outbound,5000
2017-11-04 18:03:34,1170,lowFloor,66,109,-41.2524986,174.8049316,Outbound,5000
2017-11-04 18:05:03,1170,lowFloor,66,63,-41.2472725,174.8135223,Outbound,5000
2017-11-04 18:05:03,1170,lowFloor,66,63,-41.2472725,174.8135223,Outbound,5000
2017-11-04 18:07:02,1170,lowFloor,66,64,-41.2320480,174.8380737,Outbound,5000
